"Year","Quarter","Month","DayofMonth","DayOfWeek","FlightDate","Reporting_Airline","DOT_ID_Reporting_Airline","IATA_CODE_Reporting_Airline","Tail_Number","Flight_Number_Reporting_Airline","OriginAirportID","OriginAirportSeqID","OriginCityMarketID","Origin","OriginCityName","OriginState","OriginStateFips","OriginStateName","OriginWac","DestAirportID","DestAirportSeqID","DestCityMarketID","Dest","DestCityName","DestState","DestStateFips","DestStateName","DestWac","CRSDepTime","DepTime","DepDelay","DepDelayMinutes","DepDel15","DepartureDelayGroups","DepTimeBlk","TaxiOut","WheelsOff","WheelsOn","TaxiIn","CRSArrTime","ArrTime","ArrDelay","ArrDelayMinutes","ArrDel15","ArrivalDelayGroups","ArrTimeBlk","Cancelled","Diverted","CRSElapsedTime","ActualElapsedTime","AirTime","Flights","Distance","DistanceGroup","CarrierDelay","WeatherDelay","NASDelay","SecurityDelay","LateAircraftDelay","FirstDepTime","TotalAddGTime","LongestAddGTime","DivAirportLandings","DivReachedDest","DivActualElapsedTime","DivArrDelay","DivDistance","Div1Airport","Div1AirportID","Div1AirportSeqID","Div1WheelsOn","Div1TotalGTime","Div1LongestGTime","Div1WheelsOff","Div1TailNum","Div2Airport","Div2AirportID","Div2AirportSeqID","Div2WheelsOn","Div2TotalGTime","Div2LongestGTime","Div2WheelsOff","Div2TailNum","Div3Airport","Div3AirportID","Div3AirportSeqID","Div3WheelsOn","Div3TotalGTime","Div3LongestGTime","Div3WheelsOff","Div3TailNum","Div4Airport","Div4AirportID","Div4AirportSeqID","Div4WheelsOn","Div4TotalGTime","Div4LongestGTime","Div4WheelsOff","Div4TailNum","Div5Airport","Div5AirportID","Div5AirportSeqID","Div5WheelsOn","Div5TotalGTime","Div5LongestGTime","Div5WheelsOff","Div5TailNum","X"
2018,1,1,9,2,"2018-01-09","B6",20409,"B6","N229JB",1431,10721,1072102,30721,"BOS","Boston, MA","MA",25,"Massachusetts",13,12953,1295304,31703,"LGA","New York, NY","NY",36,"New York",22,1940,1957,17,17,1,1,"1900-1959",17,2014,2102,5,2104,2107,3,3,0,0,"2100-2159",0,0,84,70,48,1,184,1,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,"","",NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2018,1,1,9,2,"2018-01-09","B6",20409,"B6","N784JB",1451,10721,1072102,30721,"BOS","Boston, MA","MA",25,"Massachusetts",13,13204,1320402,31454,"MCO","Orlando, FL","FL",12,"Florida",33,1707,1753,46,46,1,3,"1700-1759",12,1805,2046,7,2033,2053,20,20,1,1,"2000-2059",0,0,206,180,161,1,1121,5,10,0,0,0,10,NA,NA,NA,0,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,"","",NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2018,1,1,9,2,"2018-01-09","B6",20409,"B6","N373JB",1615,10721,1072102,30721,"BOS","Boston, MA","MA",25,"Massachusetts",13,10792,1079206,30792,"BUF","Buffalo, NY","NY",36,"New York",22,2054,2120,26,26,1,1,"2000-2059",17,2137,2242,4,2229,2246,17,17,1,1,"2200-2259",0,0,95,86,65,1,395,2,1,0,0,0,16,NA,NA,NA,0,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,"","",NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2018,1,1,9,2,"2018-01-09","B6",20409,"B6","N991JB",1833,10721,1072102,30721,"BOS","Boston, MA","MA",25,"Massachusetts",13,14771,1477104,32457,"SFO","San Francisco, CA","CA",6,"California",91,1040,1102,22,22,1,1,"1000-1059",27,1129,1453,13,1440,1506,26,26,1,1,"1400-1459",0,0,420,424,384,1,2704,11,22,0,4,0,0,NA,NA,NA,0,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,"","",NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2018,1,1,9,2,"2018-01-09","B6",20409,"B6","N834JB",1907,10721,1072102,30721,"BOS","Boston, MA","MA",25,"Massachusetts",13,10693,1069302,30693,"BNA","Nashville, TN","TN",47,"Tennessee",54,1700,1741,41,41,1,2,"1700-1759",19,1800,1911,6,1903,1917,14,14,0,0,"1900-1959",0,0,183,156,131,1,942,4,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,"","",NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2018,1,1,9,2,"2018-01-09","B6",20409,"B6","N971JB",1951,10721,1072102,30721,"BOS","Boston, MA","MA",25,"Massachusetts",13,13204,1320402,31454,"MCO","Orlando, FL","FL",12,"Florida",33,2003,2053,50,50,1,3,"2000-2059",18,2111,2346,9,2321,2355,34,34,1,2,"2300-2359",0,0,198,182,155,1,1121,5,34,0,0,0,0,NA,NA,NA,0,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,"","",NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2018,1,1,9,2,"2018-01-09","B6",20409,"B6","N526JB",1969,10721,1072102,30721,"BOS","Boston, MA","MA",25,"Massachusetts",13,11697,1169706,32467,"FLL","Fort Lauderdale, FL","FL",12,"Florida",33,1700,1722,22,22,1,1,"1700-1759",28,1750,2053,7,2038,2100,22,22,1,1,"2000-2059",0,0,218,218,183,1,1237,5,14,0,0,0,8,NA,NA,NA,0,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,"","",NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2018,1,1,9,2,"2018-01-09","B6",20409,"B6","N615JB",1991,10721,1072102,30721,"BOS","Boston, MA","MA",25,"Massachusetts",13,15304,1530402,33195,"TPA","Tampa, FL","FL",12,"Florida",33,1520,1554,34,34,1,2,"1500-1559",23,1617,1857,4,1849,1901,12,12,0,0,"1800-1859",0,0,209,187,160,1,1185,5,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,"","",NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2018,1,1,9,2,"2018-01-09","B6",20409,"B6","N279JB",2009,10721,1072102,30721,"BOS","Boston, MA","MA",25,"Massachusetts",13,12451,1245102,31136,"JAX","Jacksonville, FL","FL",12,"Florida",33,2048,2115,27,27,1,1,"2000-2059",15,2130,2355,4,2348,2359,11,11,0,0,"2300-2359",0,0,180,164,145,1,1010,5,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,"","",NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2018,1,1,9,2,"2018-01-09","B6",20409,"B6","N309JB",2127,10721,1072102,30721,"BOS","Boston, MA","MA",25,"Massachusetts",13,10821,1082106,30852,"BWI","Baltimore, MD","MD",24,"Maryland",35,1056,1120,24,24,1,1,"1000-1059",18,1138,1249,6,1231,1255,24,24,1,1,"1200-1259",0,0,95,95,71,1,369,2,11,0,0,0,13,NA,NA,NA,0,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,"","",NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
